DATE,ATNHPIUS41740Q
1975-10-01,25.21
1976-01-01,28.03
1976-04-01,27.3
1976-07-01,28.02
1976-10-01,29.19
1977-01-01,30.41
1977-04-01,32.81
1977-07-01,35.53
1977-10-01,38.27
1978-01-01,39.87
1978-04-01,41.63
1978-07-01,43.44
1978-10-01,45.21
1979-01-01,47.94
1979-04-01,50.41
1979-07-01,52.63
1979-10-01,53.99
1980-01-01,54.89
1980-04-01,55.57
1980-07-01,56.71
1980-10-01,51.83
1981-01-01,57.15
1981-04-01,59.05
1981-07-01,60.42
1981-10-01,56.04
1982-01-01,58.04
1982-04-01,56.55
1982-07-01,58.19
1982-10-01,59.41
1983-01-01,58.33
1983-04-01,57.45
1983-07-01,60.12
1983-10-01,60.76
1984-01-01,61.19
1984-04-01,61.63
1984-07-01,62.3
1984-10-01,63.26
1985-01-01,63.48
1985-04-01,64.58
1985-07-01,65.93
1985-10-01,66
1986-01-01,67.39
1986-04-01,68.36
1986-07-01,70.02
1986-10-01,71.18
1987-01-01,72.84
1987-04-01,74.49
1987-07-01,76.34
1987-10-01,78.10
1988-01-01,80.28
1988-04-01,82.82
1988-07-01,86.5
1988-10-01,91.77
1989-01-01,96.61
1989-04-01,101.44
1989-07-01,106.52
1989-10-01,109.49
1990-01-01,110.69
1990-04-01,110.94
1990-07-01,112.2
1990-10-01,111.1
1991-01-01,111.16
1991-04-01,110.45
1991-07-01,110.34
1991-10-01,110.95
1992-01-01,110.63
1992-04-01,109.73
1992-07-01,109.52
1992-10-01,108.55
1993-01-01,107.21
1993-04-01,106.27
1993-07-01,105.42
1993-10-01,105.15
1994-01-01,104.21
1994-04-01,102.2
1994-07-01,101.24
1994-10-01,100.2
1995-01-01,100.00
1995-04-01,100.54
1995-07-01,101.58
1995-10-01,101.56
1996-01-01,101.64
1996-04-01,100.02
1996-07-01,99.9
1996-10-01,100.86
1997-01-01,101.01
1997-04-01,102.07
1997-07-01,104.14
1997-10-01,105.68
1998-01-01,108.21
1998-04-01,111.34
1998-07-01,115.01
1998-10-01,117.44
1999-01-01,119.71
1999-04-01,122.18
1999-07-01,126.33
1999-10-01,129.81
2000-01-01,136.44
2000-04-01,140.56
2000-07-01,145.37
2000-10-01,149.88
2001-01-01,154.75
2001-04-01,159.06
2001-07-01,163.65
2001-10-01,167.42
2002-01-01,173.28
2002-04-01,181.42
2002-07-01,189.84
2002-10-01,196.29
2003-01-01,202.2
2003-04-01,206.81
2003-07-01,214.29
2003-10-01,229.33
2004-01-01,238.5
2004-04-01,253.93
2004-07-01,282.71
2004-10-01,291.51
2005-01-01,300.59
2005-04-01,308.89
2005-07-01,316.13
2005-10-01,323.2
2006-01-01,324.29
2006-04-01,322.72
2006-07-01,321.52
2006-10-01,318.04
2007-01-01,312.69
2007-04-01,306.37
2007-07-01,296.31
2007-10-01,286.95
2008-01-01,273.44
2008-04-01,253.77
2008-07-01,237.28
2008-10-01,230.96
2009-01-01,230.79
2009-04-01,222.58
2009-07-01,218.55
2009-10-01,222
2010-01-01,221.47
2010-04-01,221.01
2010-07-01,223.05
2010-10-01,221.93
2011-01-01,215.43
2011-04-01,210.47
2011-07-01,212.52
2011-10-01,212.25
2012-01-01,210.72
2012-04-01,210.52
2012-07-01,214.65
2012-10-01,218.96
2013-01-01,223.69
2013-04-01,234.76
2013-07-01,248.27
2013-10-01,255.09
2014-01-01,259.04
2014-04-01,264.01
2014-07-01,267.22
2014-10-01,269.85
2015-01-01,271.95
2015-04-01,276.78
2015-07-01,283.6
2015-10-01,287.17
2016-01-01,291.07
2016-04-01,295.92
2016-07-01,301.33
2016-10-01,306.55
2017-01-01,312.46
2017-04-01,321.19
2017-07-01,327.24
2017-10-01,332.23
2018-01-01,338.03
2018-04-01,347.47
2018-07-01,350.38
